region_name,wheat_count
0710shio60_DJI_20250710161310_0002_D.JPG,345
0710shio60_DJI_20250710161311_0003_D.JPG,423
0710shio60_DJI_20250710161313_0004_D.JPG,403
0710shio60_DJI_20250710161315_0005_D.JPG,463
0710shio60_DJI_20250710161317_0006_D.JPG,364
0710shio60_DJI_20250710161319_0007_D.JPG,311
0710shio60_DJI_20250710161320_0008_D.JPG,348
0710shio60_DJI_20250710161323_0009_D.JPG,411
0710shio60_DJI_20250710161325_0010_D.JPG,432
0710shio60_DJI_20250710161327_0011_D.JPG,420
0710shio60_DJI_20250710161329_0012_D.JPG,420
0710shio60_DJI_20250710161331_0013_D.JPG,269
0710shio60_DJI_20250710161333_0014_D.JPG,353
0710shio60_DJI_20250710161335_0015_D.JPG,354
0710shio60_DJI_20250710161337_0016_D.JPG,382
0710shio60_DJI_20250710161339_0017_D.JPG,411
0710shio60_DJI_20250710161341_0018_D.JPG,477
0710shio60_DJI_20250710161343_0019_D.JPG,433
0710shio60_DJI_20250710161345_0020_D.JPG,430
0710shio60_DJI_20250710161347_0021_D.JPG,431
0710shio60_DJI_20250710161349_0022_D.JPG,399
0710shio60_DJI_20250710161351_0023_D.JPG,368
0710shio60_DJI_20250710161353_0024_D.JPG,378
0710shio60_DJI_20250710161355_0025_D.JPG,363
0710shio60_DJI_20250710161357_0026_D.JPG,367
0710shio60_DJI_20250710161359_0027_D.JPG,422
0710shio60_DJI_20250710161401_0028_D.JPG,454
0710shio60_DJI_20250710161403_0029_D.JPG,443
0710shio60_DJI_20250710161405_0030_D.JPG,445
0710shio60_DJI_20250710161407_0031_D.JPG,424
0710shio60_DJI_20250710161409_0032_D.JPG,458
0710shio60_DJI_20250710161411_0033_D.JPG,445
0710shio60_DJI_20250710161413_0034_D.JPG,400
0710shio60_DJI_20250710161415_0035_D.JPG,424
0710shio60_DJI_20250710161417_0036_D.JPG,495
0710shio60_DJI_20250710161419_0037_D.JPG,507
0710shio60_DJI_20250710161421_0038_D.JPG,473
0710shio60_DJI_20250710161423_0039_D.JPG,469
0710shio60_DJI_20250710161425_0040_D.JPG,508
0710shio60_DJI_20250710161427_0041_D.JPG,467
0710shio60_DJI_20250710161429_0042_D.JPG,397
0710shio60_DJI_20250710161431_0043_D.JPG,363
