sample_id,filename,split
0,0710tai60_DJI_20250710154708_0278_D.JPG,train
1,0710tai60_DJI_20250710154440_0204_D.JPG,train
2,0710tai60_DJI_20250710154042_0085_D.JPG,train
3,0710tai60_DJI_20250710153818_0013_D.JPG,train
4,0710tai60_DJI_20250710154324_0166_D.JPG,train
5,0710tai60_DJI_20250710154238_0143_D.JPG,train
6,0710tai60_DJI_20250710154532_0230_D.JPG,train
7,0710tai60_DJI_20250710154526_0227_D.JPG,train
8,0710tai60_DJI_20250710154018_0073_D.JPG,train
9,0710tai60_DJI_20250710154152_0120_D.JPG,train
10,0710tai60_DJI_20250710154446_0207_D.JPG,train
11,0710tai60_DJI_20250710154232_0140_D.JPG,train
12,0710tai60_DJI_20250710154832_0320_D.JPG,train
13,0710tai60_DJI_20250710154540_0234_D.JPG,train
14,0710shio60_DJI_20250710161601_0088_D.JPG,train
15,0710tai60_DJI_20250710154406_0187_D.JPG,train
16,0710shio60_DJI_20250710161539_0077_D.JPG,train
17,0710tai60_DJI_20250710154846_0327_D.JPG,train
18,0710shio60_DJI_20250710161339_0017_D.JPG,train
19,0710tai60_DJI_20250710154558_0243_D.JPG,train
20,0710tai60_DJI_20250710153926_0047_D.JPG,train
21,0710tai60_DJI_20250710154656_0272_D.JPG,train
22,0710shio60_DJI_20250710161347_0021_D.JPG,train
23,0710tai60_DJI_20250710154442_0205_D.JPG,train
24,0710tai60_DJI_20250710154502_0215_D.JPG,train
25,0710shio60_DJI_20250710161501_0058_D.JPG,train
26,0710tai60_DJI_20250710154142_0115_D.JPG,train
27,0710tai60_DJI_20250710154500_0214_D.JPG,train
28,0710tai60_DJI_20250710154812_0310_D.JPG,train
29,0710tai60_DJI_20250710153832_0020_D.JPG,train
30,0710shio60_DJI_20250710161359_0027_D.JPG,train
31,0710tai60_DJI_20250710154630_0259_D.JPG,train
32,0710shio60_DJI_20250710161433_0044_D.JPG,train
33,0710tai60_DJI_20250710154350_0179_D.JPG,train
34,0710tai60_DJI_20250710154250_0149_D.JPG,train
35,0710tai60_DJI_20250710153856_0032_D.JPG,train
36,0710tai60_DJI_20250710154254_0151_D.JPG,train
37,0710shio60_DJI_20250710161721_0128_D.JPG,train
38,0710tai60_DJI_20250710154450_0209_D.JPG,train
39,0710shio60_DJI_20250710161411_0033_D.JPG,train
40,0710shio60_DJI_20250710161655_0115_D.JPG,train
41,0710tai60_DJI_20250710154720_0284_D.JPG,train
42,0710tai60_DJI_20250710154046_0087_D.JPG,train
43,0710tai60_DJI_20250710153828_0018_D.JPG,train
44,0710shio60_DJI_20250710161503_0059_D.JPG,train
45,0710tai60_DJI_20250710154022_0075_D.JPG,train
46,0710shio60_DJI_20250710161357_0026_D.JPG,train
47,0710shio60_DJI_20250710161343_0019_D.JPG,train
48,0710tai60_DJI_20250710154024_0076_D.JPG,train
49,0710shio60_DJI_20250710161521_0068_D.JPG,train
50,0710tai60_DJI_20250710154058_0093_D.JPG,train
51,0710tai60_DJI_20250710154020_0074_D.JPG,train
52,0710shio60_DJI_20250710161617_0096_D.JPG,train
53,0710tai60_DJI_20250710154300_0154_D.JPG,train
54,0710tai60_DJI_20250710154304_0156_D.JPG,train
55,0710shio60_DJI_20250710161355_0025_D.JPG,train
56,0710tai60_DJI_20250710154548_0238_D.JPG,train
57,0710tai60_DJI_20250710154742_0295_D.JPG,train
58,0710tai60_DJI_20250710154038_0083_D.JPG,train
59,0710shio60_DJI_20250710161319_0007_D.JPG,train
60,0710shio60_DJI_20250710161701_0118_D.JPG,train
61,0710shio60_DJI_20250710161439_0047_D.JPG,train
62,0710tai60_DJI_20250710154754_0301_D.JPG,train
63,0710shio60_DJI_20250710161341_0018_D.JPG,train
64,0710tai60_DJI_20250710154940_0354_D.JPG,train
65,0710tai60_DJI_20250710154556_0242_D.JPG,train
66,0710shio60_DJI_20250710161315_0005_D.JPG,train
67,0710tai60_DJI_20250710154118_0103_D.JPG,train
68,0710tai60_DJI_20250710154814_0311_D.JPG,train
69,0710shio60_DJI_20250710161509_0062_D.JPG,train
70,0710shio60_DJI_20250710161649_0112_D.JPG,train
71,0710tai60_DJI_20250710154858_0333_D.JPG,train
72,0710tai60_DJI_20250710154224_0136_D.JPG,train
73,0710shio60_DJI_20250710161407_0031_D.JPG,train
74,0710tai60_DJI_20250710154744_0296_D.JPG,train
75,0710tai60_DJI_20250710153922_0045_D.JPG,train
76,0710shio60_DJI_20250710161401_0028_D.JPG,train
77,0710shio60_DJI_20250710161323_0009_D.JPG,train
78,0710tai60_DJI_20250710153924_0046_D.JPG,train
79,0710tai60_DJI_20250710154916_0342_D.JPG,train
80,0710shio60_DJI_20250710161645_0110_D.JPG,train
81,0710shio60_DJI_20250710161423_0039_D.JPG,train
82,0710tai60_DJI_20250710153836_0022_D.JPG,train
83,0710tai60_DJI_20250710154948_0358_D.JPG,train
84,0710shio60_DJI_20250710161705_0120_D.JPG,train
85,0710shio60_DJI_20250710161657_0116_D.JPG,train
86,0710tai60_DJI_20250710154218_0133_D.JPG,train
87,0710tai60_DJI_20250710153912_0040_D.JPG,train
88,0710tai60_DJI_20250710154008_0068_D.JPG,train
89,0710tai60_DJI_20250710154206_0127_D.JPG,train
90,0710tai60_DJI_20250710153810_0009_D.JPG,train
91,0710tai60_DJI_20250710153950_0059_D.JPG,train
92,0710tai60_DJI_20250710154622_0255_D.JPG,train
93,0710tai60_DJI_20250710154644_0266_D.JPG,train
94,0710tai60_DJI_20250710154734_0291_D.JPG,train
95,0710tai60_DJI_20250710154110_0099_D.JPG,train
96,0710tai60_DJI_20250710154116_0102_D.JPG,train
97,0710tai60_DJI_20250710154900_0334_D.JPG,train
98,0710tai60_DJI_20250710153804_0006_D.JPG,train
99,0710tai60_DJI_20250710155050_0389_D.JPG,train
100,0710shio60_DJI_20250710161523_0069_D.JPG,train
101,0710tai60_DJI_20250710154408_0188_D.JPG,train
102,0710tai60_DJI_20250710153858_0033_D.JPG,train
103,0710tai60_DJI_20250710153938_0053_D.JPG,train
104,0710tai60_DJI_20250710154510_0219_D.JPG,train
105,0710tai60_DJI_20250710154804_0306_D.JPG,train
106,0710tai60_DJI_20250710154524_0226_D.JPG,train
107,0710tai60_DJI_20250710153948_0058_D.JPG,train
108,0710shio60_DJI_20250710161551_0083_D.JPG,train
109,0710shio60_DJI_20250710161647_0111_D.JPG,train
110,0710tai60_DJI_20250710154204_0126_D.JPG,train
111,0710tai60_DJI_20250710153812_0010_D.JPG,train
112,0710shio60_DJI_20250710161613_0094_D.JPG,train
113,0710tai60_DJI_20250710153826_0017_D.JPG,train
114,0710tai60_DJI_20250710155030_0379_D.JPG,train
115,0710tai60_DJI_20250710154712_0280_D.JPG,train
116,0710tai60_DJI_20250710154148_0118_D.JPG,train
117,0710shio60_DJI_20250710161555_0085_D.JPG,train
118,0710shio60_DJI_20250710161635_0105_D.JPG,train
119,0710tai60_DJI_20250710153852_0030_D.JPG,train
120,0710tai60_DJI_20250710153848_0028_D.JPG,train
121,0710tai60_DJI_20250710154000_0064_D.JPG,train
122,0710tai60_DJI_20250710154140_0114_D.JPG,train
123,0710shio60_DJI_20250710161537_0076_D.JPG,train
124,0710tai60_DJI_20250710154358_0183_D.JPG,train
125,0710tai60_DJI_20250710154342_0175_D.JPG,train
126,0710tai60_DJI_20250710154954_0361_D.JPG,train
127,0710shio60_DJI_20250710161707_0121_D.JPG,train
128,0710tai60_DJI_20250710154302_0155_D.JPG,train
129,0710tai60_DJI_20250710155014_0371_D.JPG,train
130,0710tai60_DJI_20250710154918_0343_D.JPG,train
131,0710tai60_DJI_20250710154718_0283_D.JPG,train
132,0710tai60_DJI_20250710155006_0367_D.JPG,train
133,0710tai60_DJI_20250710154242_0145_D.JPG,train
134,0710tai60_DJI_20250710154842_0325_D.JPG,train
135,0710tai60_DJI_20250710155012_0370_D.JPG,train
136,0710tai60_DJI_20250710154332_0170_D.JPG,train
137,0710tai60_DJI_20250710154650_0269_D.JPG,train
138,0710tai60_DJI_20250710154402_0185_D.JPG,train
139,0710shio60_DJI_20250710161421_0038_D.JPG,train
140,0710tai60_DJI_20250710153954_0061_D.JPG,train
141,0710tai60_DJI_20250710153800_0004_D.JPG,train
142,0710tai60_DJI_20250710154612_0250_D.JPG,train
143,0710tai60_DJI_20250710154822_0315_D.JPG,train
144,0710tai60_DJI_20250710155004_0366_D.JPG,train
145,0710tai60_DJI_20250710154658_0273_D.JPG,train
146,0710shio60_DJI_20250710161507_0061_D.JPG,train
147,0710tai60_DJI_20250710155036_0382_D.JPG,train
148,0710tai60_DJI_20250710154138_0113_D.JPG,train
149,0710shio60_DJI_20250710161651_0113_D.JPG,train
150,0710shio60_DJI_20250710161607_0091_D.JPG,train
151,0710tai60_DJI_20250710154226_0137_D.JPG,train
152,0710tai60_DJI_20250710154212_0130_D.JPG,train
153,0710tai60_DJI_20250710154604_0246_D.JPG,train
154,0710tai60_DJI_20250710153822_0015_D.JPG,train
155,0710tai60_DJI_20250710154646_0267_D.JPG,train
156,0710shio60_DJI_20250710161425_0040_D.JPG,train
157,0710tai60_DJI_20250710154410_0189_D.JPG,train
158,0710tai60_DJI_20250710153958_0063_D.JPG,train
